"Time (s) good cart run #1","Position (m) good cart run #1","Velocity (m/s) good cart run #1","Acceleration (m/s²) good cart run #1","Time (s) bad cart plunger run #2","Position (m) bad cart plunger run #2","Velocity (m/s) bad cart plunger run #2","Acceleration (m/s²) bad cart plunger run #2","Time (s) bad cart magnetic run #3","Position (m) bad cart magnetic run #3","Velocity (m/s) bad cart magnetic run #3","Acceleration (m/s²) bad cart magnetic run #3","Time (s) good cart run #4","Position (m) good cart run #4","Velocity (m/s) good cart run #4","Acceleration (m/s²) good cart run #4","Time (s) good cart Run #5","Position (m) good cart Run #5","Velocity (m/s) good cart Run #5","Acceleration (m/s²) good cart Run #5","Time (s) good cart sail Run #6","Position (m) good cart sail Run #6","Velocity (m/s) good cart sail Run #6","Acceleration (m/s²) good cart sail Run #6","Time (s) stationary test run #7","Position (m) stationary test run #7","Velocity (m/s) stationary test run #7","Acceleration (m/s²) stationary test run #7","Time (s) stationary test run #8","Position (m) stationary test run #8","Velocity (m/s) stationary test run #8","Acceleration (m/s²) stationary test run #8","Time (s) stationary test run #9","Position (m) stationary test run #9","Velocity (m/s) stationary test run #9","Acceleration (m/s²) stationary test run #9","Time (s) stationary test run #10","Position (m) stationary test run #10","Velocity (m/s) stationary test run #10","Acceleration (m/s²) stationary test run #10","Time (s) stationary test run #11","Position (m) stationary test run #11","Velocity (m/s) stationary test run #11","Acceleration (m/s²) stationary test run #11","Time (s) goodd cart run #12","Position (m) goodd cart run #12","Velocity (m/s) goodd cart run #12","Acceleration (m/s²) goodd cart run #12"
0.000,0.45,,,0.000,0.45,,,0.000,0.45,,,0.000,0.45,,,0.000,0.46,,,0.000,0.88,,,0.000,1.11,,,0.000,0.45,,,0.000,1.07,,,0.000,0.62,,,0.000,0.89,,,0.000,0.79,,
0.010,0.45,-0.03,,0.010,0.45,-0.06,,0.010,0.45,-0.06,,0.010,0.45,-0.04,,0.010,0.45,-0.05,,0.010,0.88,-0.04,,0.010,1.11,-0.01,,0.010,0.45,-0.05,,0.010,1.07,-0.06,,0.010,0.62,-0.15,,0.010,0.89,-0.01,,0.010,0.79,0.44,
0.020,0.45,0.00,1.82,0.020,0.45,-0.02,3.20,0.020,0.45,-0.01,3.30,0.020,0.45,-0.02,1.58,0.020,0.45,-0.02,2.50,0.020,0.88,-0.07,-1.13,0.020,1.11,-0.01,0.67,0.020,0.45,-0.02,2.36,0.020,1.07,0.02,5.78,0.020,0.62,-0.06,7.01,0.020,0.89,0.00,0.57,0.020,0.80,-1.33,-96.12
0.030,0.45,0.01,0.63,0.030,0.45,0.01,1.45,0.030,0.45,0.01,1.21,0.030,0.45,-0.01,0.88,0.030,0.45,0.00,1.29,0.030,0.88,-0.06,1.46,0.030,1.11,0.00,1.04,0.030,0.45,-3.73E-4,1.22,0.030,1.07,0.05,1.95,0.030,0.62,-0.01,3.28,0.030,0.89,6.42E-4,0.71,0.030,0.75,-1.48,1.26
0.040,0.45,0.00,-0.04,0.040,0.45,0.01,0.38,0.040,0.45,0.00,0.16,0.040,0.45,0.00,0.45,0.040,0.45,0.01,0.30,0.040,0.88,-0.03,2.43,0.040,1.11,0.01,1.43,0.040,0.45,0.00,0.38,0.040,1.08,0.05,-0.16,0.040,0.62,-0.01,0.97,0.040,0.89,0.01,0.65,0.040,0.75,-0.82,47.02
0.050,0.45,0.00,-0.16,0.050,0.45,0.01,0.01,0.050,0.45,-3.73E-4,0.04,0.050,0.45,-3.76E-4,0.29,0.050,0.45,0.00,-0.25,0.050,0.88,6.71E-4,1.96,0.050,1.11,0.03,1.33,0.050,0.45,0.00,-0.04,0.050,1.08,0.03,-0.52,0.050,0.62,-0.01,0.22,0.050,0.89,0.02,0.37,0.050,0.75,0.00,38.47
0.060,0.45,0.00,-0.05,0.060,0.45,0.01,-0.04,0.060,0.45,0.00,0.12,0.060,0.45,0.00,0.26,0.060,0.45,0.00,-0.22,0.060,0.88,0.01,1.15,0.060,1.11,0.05,0.45,0.060,0.45,0.00,-0.10,0.060,1.08,0.04,-0.27,0.060,0.62,0.00,0.34,0.060,0.89,0.02,0.00,0.060,0.75,0.01,13.63
0.070,0.45,0.00,0.00,0.070,0.45,0.01,-0.14,0.070,0.45,0.01,-0.08,0.070,0.45,0.01,0.13,0.070,0.45,0.00,0.03,0.070,0.88,0.02,0.55,0.070,1.12,0.04,-0.59,0.070,0.45,0.00,-0.05,0.070,1.08,0.03,-0.44,0.070,0.62,0.00,0.33,0.070,0.89,0.02,-0.21,0.070,0.75,0.00,-0.14
0.080,0.45,0.00,0.00,0.080,0.45,0.00,-0.16,0.080,0.45,3.73E-4,-0.21,0.080,0.45,0.01,-0.12,0.080,0.45,-3.79E-4,0.20,0.080,0.88,0.02,0.03,0.080,1.12,0.03,-0.84,0.080,0.45,0.00,0.00,0.080,1.08,0.03,-0.83,0.080,0.62,0.01,0.08,0.080,0.89,0.01,-0.33,0.080,0.75,0.00,-0.16
0.090,0.45,0.00,0.00,0.090,0.45,-3.73E-4,-0.05,0.090,0.45,0.00,-0.07,0.090,0.45,0.00,-0.34,0.090,0.45,0.00,0.12,0.090,0.88,0.02,-0.36,0.090,1.12,0.02,-0.43,0.090,0.45,0.00,0.00,0.090,1.08,0.01,-0.84,0.090,0.62,0.00,-0.14,0.090,0.89,0.01,-0.37,0.090,0.75,0.00,-0.06
